sub_category,category,n_products,cross_elasticity,gross_unit_gain,units_lost_on_shelf,net_unit_gain,diversion_ratio
PRETZELS,BAG SNACKS,15,1.185470263342436,52.93351132233125,-72.29804843330707,-19.364537110975824,1.3658275566315292
ALL FAMILY CEREAL,COLD CEREAL,7,1.5635462526337967,71.53976662398344,-85.44433302604953,-13.904566402066095,1.1943613609357882
MOUTHWASHES (ANTISEPTIC),ORAL HYGIENE PRODUCTS,8,0.22952446332633483,13.984603958044357,-1.924753766883095,12.059850191161262,0.13763377015592348
MOUTHWASH/RINSES AND SPRAYS,ORAL HYGIENE PRODUCTS,5,0.10830305365923325,4.23981305219313,-0.34736841748680025,3.8924446347063295,0.0819301259773982
ADULT CEREAL,COLD CEREAL,3,0.0822338381309369,28.936962318376185,-1.5498662420806708,27.387096076295514,0.05356008778766805
KIDS CEREAL,COLD CEREAL,5,0.06550205958779753,107.39013073022976,-2.4990740628619226,104.89105666736783,0.02327098445517067
PIZZA/PREMIUM,FROZEN PIZZA,12,-0.00606393959848582,104.701207113285,0.17542712604130237,104.8766342393263,-0.0016755024213951334
