category,mechanic,n_promoted_weeks,observed_lift_pct,mean_discount_depth_x,n_store_product_pairs,mean_discount_depth_y,price_lift_pct,mechanic_lift_pct,modelled_total_lift_pct,share_of_lift_from_merchandising,observed_minus_modelled_pct
BAG SNACKS,display_only,14204,54.498321360160304,0.0627211840460077,671,0.0627211840460077,9.506228301258357,62.079377637701995,77.48701330520062,0.8417170524832658,-22.988691945040316
BAG SNACKS,feature_and_display,1494,208.0109862617624,0.2135244307657389,437,0.2135244307657389,47.567962666310734,111.30741415130868,211.82204602594985,0.6578462259358598,-3.8110597641874335
BAG SNACKS,feature_only,1667,87.07122572582,0.19233658310569518,452,0.19233658310569518,33.296816416574046,26.72451715731816,68.91974698998027,0.4517764159888006,18.15147873583973
BAG SNACKS,tpr_only,20623,16.226185516094272,0.20176091985866876,856,0.20176091985866876,29.059478657029313,-9.213821602338824,17.168168532662097,-0.6100927725119464,-0.9419830165678249
COLD CEREAL,display_only,5309,145.06398943876815,0.18154065367790528,1010,0.18154065367790528,48.43755507002756,70.42631439762981,152.97665428780007,0.5744179735356829,-7.912664849031927
COLD CEREAL,feature_and_display,9553,358.5689256373474,0.2599886680928753,1062,0.2599886680928753,78.88275663822671,160.16215272350428,365.38523052115784,0.6217973721437101,-6.81630488381046
COLD CEREAL,feature_only,6659,140.3918294920011,0.20906222296597032,1139,0.20906222296597032,54.37328812857389,53.86115171227015,137.52051905072503,0.4980793567617745,2.87131044127608
COLD CEREAL,tpr_only,18549,23.34119099248757,0.19108292572680655,1136,0.19108292572680655,30.360763636104583,-0.6065483416744066,29.570062586075707,-0.023485490250294103,-6.2288715935881385
FROZEN PIZZA,display_only,5697,152.24603344559432,0.15537599420841847,757,0.15537599420841847,62.31617843703576,67.32127126476237,171.5894932292284,0.5151981474540026,-19.343459783634074
FROZEN PIZZA,feature_and_display,10406,304.76462123135474,0.24655050764998962,714,0.24655050764998962,126.38103939028858,87.22217691666796,323.8355100730779,0.43424497075212626,-19.07088884172316
FROZEN PIZZA,feature_only,8088,175.3581973470134,0.2251831742622355,737,0.2251831742622355,110.80070831755116,33.75513064614062,181.9567628131304,0.28057608966411834,-6.598565466117009
FROZEN PIZZA,tpr_only,9582,55.83993827115306,0.2069909625802383,833,0.2069909625802383,87.79182242263248,-7.367143946275323,73.95692854542342,-0.1382245313695076,-18.116990274270364
ORAL HYGIENE PRODUCTS,display_only,7817,51.49662420224394,0.14889747198801467,593,0.14889747198801467,29.445238049266955,21.9420416842961,57.8481661403734,0.4345927249154838,-6.351541938129458
ORAL HYGIENE PRODUCTS,feature_and_display,1758,199.13885572541142,0.2513626417426191,502,0.2513626417426191,60.18360887068823,97.19778976448916,215.8785362579914,0.590370703803778,-16.739680532579996
ORAL HYGIENE PRODUCTS,feature_only,4148,129.79140061764426,0.25952319920365063,599,0.25952319920365063,61.90787528566561,47.29232920008555,138.4778806666265,0.44557153250657616,-8.686480048982247
ORAL HYGIENE PRODUCTS,tpr_only,21059,36.35455290159133,0.24498705649961214,969,0.24498705649961214,45.95305109846186,-2.536169709069447,42.25143402704001,-0.07289147372413814,-5.8968811254486795
