sub_category,cross_elasticity_mean,cross_elasticity_sd,prob_positive
ALL FAMILY CEREAL,1.5635462526337967,0.031529930247835736,1.0
PRETZELS,1.185470263342436,0.02681806214443989,1.0
MOUTHWASHES (ANTISEPTIC),0.22952446332633483,0.015970174077860205,1.0
MOUTHWASH/RINSES AND SPRAYS,0.10830305365923325,0.0240948451478192,1.0
ADULT CEREAL,0.0822338381309369,0.023522145132482228,0.99975
KIDS CEREAL,0.06550205958779753,0.027033937722697906,0.99425
PIZZA/PREMIUM,-0.00606393959848582,0.026493818631548094,0.41625
