mechanic,category,log_effect_mean,uplift_multiplier,uplift_pct,hdi_low_pct,hdi_high_pct,prob_positive
tpr_only,BAG SNACKS,-0.09666313225760316,0.9078821830156872,-9.211781698431274,-10.334554886604153,-8.029517544478605,0.0
tpr_only,COLD CEREAL,-0.006083953184536481,0.9939502407980235,-0.6049759201976459,-1.657976445958953,0.4281128475118301,0.137
tpr_only,FROZEN PIZZA,-0.07652629027375453,0.9263586858454832,-7.364131415451677,-8.781228682544583,-5.963103028253358,0.0
tpr_only,ORAL HYGIENE PRODUCTS,-0.02568884818626408,0.9746630890289694,-2.5336910971030653,-3.8180796743696677,-1.260674039527565,0.00025
display_only,BAG SNACKS,0.48291601465854944,1.6208296702584644,62.08296702584642,60.02717292978274,64.21201109920231,1.0
display_only,COLD CEREAL,0.5331328437006057,1.7043288231225482,70.4328823122548,67.65257903217383,73.22981146404699,1.0
display_only,FROZEN PIZZA,0.5147455583622218,1.673289931022829,67.32899310228288,64.32480774924872,70.42059433369097,1.0
display_only,ORAL HYGIENE PRODUCTS,0.19837567770302622,1.2194618387778917,21.946183877789164,20.07867901470821,23.851067329773645,1.0
feature_only,BAG SNACKS,0.23684538820183298,1.2674676473430277,26.746764734302758,22.36926079465411,31.254578301837,1.0
feature_only,COLD CEREAL,0.4308803974707456,1.5386637580372664,53.866375803726655,51.489487866164275,56.1995278875558,1.0
feature_only,FROZEN PIZZA,0.29084055902344413,1.337615137239051,33.76151372390509,31.38633505478836,36.233230682020576,1.0
feature_only,ORAL HYGIENE PRODUCTS,0.3872490600897686,1.4730285537855412,47.30285537855411,44.01920122774716,50.55371316392907,1.0
feature_and_display,BAG SNACKS,0.7481438262876688,2.1134952067321398,111.34952067321397,103.80478559137765,119.46999103826208,1.0
feature_and_display,COLD CEREAL,0.9561349149508348,2.601700580231961,160.17005802319605,156.36803916869505,163.97279339908363,1.0
feature_and_display,FROZEN PIZZA,0.6271258374739977,1.8723058132992594,87.23058132992594,84.00827524997906,90.5808850036166,1.0
feature_and_display,ORAL HYGIENE PRODUCTS,0.6790370480268061,1.9722491230011097,97.22491230011099,91.2333046727219,103.4886761486078,1.0
